row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_ISSUE,prob_REMEDIATION,prob_OTHER,prob_max,margin_top2,review_flag,auto_accept,model_version,selection_reason,priority_rank,blind_pass_order,label_main,flag_mixed_ab,flag_needs_context,c_subtype,annotator,label_version,note
1354,0000835011_2006_4,39,"certain of the aforementioned significant deficiencies (items 2, 3, 5 (to the extent related to annual inventories in atchison) and 6) were disclosed in our previous fiscal year 10k report dated june 30, 2005.",certain of the aforementioned significant deficiencies items <num> <num> <num> to the extent related to annual inventories in atchison and <num> were disclosed in our previous fiscal year 10k report dated <month> <num> <year>,2006-06-30,835011,these practices could result in unauthorized or undocumented purchases.,these practices could result in unauthorized or undocumented purchases,225,0,0,OTHER,0,background,0,0,0,False,False,43.0,0,1,test,ISSUE,0.5485962430897976,0.0076795328273288,0.4437242240828735,0.5485962430897976,0.104872019006924,1,0,e5_logreg,disagreement,84,1,OTHER,0,0,background,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,historical disclosure status
1393,0000089089_2007_4,42,"high turnover within the accounting and finance function, which led to the extensive use of contract and temporary resources to prepare certain account reconciliations; and .",high turnover within the accounting and finance function which led to the extensive use of contract and temporary resources to prepare certain account reconciliations and,2007-12-31,89089,inadequate policies and procedures in place to effectively reconcile general ledger accounts to supporting detail; .,inadequate policies and procedures in place to effectively reconcile general ledger accounts to supporting detail,170,0,0,REMEDIATION,0,other,0,1,0,False,False,25.0,0,0,test,ISSUE,0.5387869432911659,0.4297667299150718,0.0314463267937621,0.5387869432911659,0.109020213376094,1,0,e5_logreg,disagreement,87,2,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
666,0000827054_2019_4,25,"in connection with the identified material weaknesses related to accounting for income taxes and to it system access, we have taken steps to remediate the material weaknesses as described above.",in connection with the identified material weaknesses related to accounting for income taxes and to it system access we have taken steps to remediate the material weaknesses as described above,2019-03-31,827054,"changes in internal control over financial reporting on may 29, 2018, we completed our acquisition of microsemi which operated under its own set of systems and internal controls.",changes in internal control over financial reporting on <month> <num> <year> we completed our acquisition of microsemi which operated under its own set of systems and internal controls,192,0,0,REMEDIATION,0,other,0,1,0,False,True,15.0,0,0,trainval,ISSUE,0.5433542524916225,0.4207281492768263,0.0359175982315511,0.5433542524916225,0.1226261032147962,1,0,e5_logreg,disagreement,36,3,REMEDIATION,0,1,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,generic remediation reference as described above
678,0001517022_2023_4,17,"remediation of previously identified material weakness - product return reserves as disclosed in our 2022 annual report on form 10-k/a, our management identified a material weakness in our internal control over financial reporting relating to product return reserves.",remediation of previously identified material weakness product return reserves as disclosed in our <year> annual report on form <num> k a our management identified a material weakness in our internal control over financial reporting relating to product return reserves,2023-12-31,1517022,"until the controls have been operating for a sufficient period of time and management has concluded, through testing, that these controls are operating effectively, the material weakness described above will continue to exist.",until the controls have been operating for a sufficient period of time and management has concluded through testing that these controls are operating effectively the material weakness described above will continue to exist,268,0,0,REMEDIATION,0,other,0,1,0,False,True,9.0,0,0,trainval,ISSUE,0.5576910812228514,0.0237509847860668,0.4185579339910816,0.5576910812228514,0.1391331472317697,1,0,e5_logreg,disagreement,37,4,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
120,0001376339_2020_4,14,the company identified material weaknesses corresponding to the control activities component of internal control as defined by coso as described below.,the company identified material weaknesses corresponding to the control activities component of internal control as defined by coso as described below,2020-12-31,1376339,management has reported to the audit committee the status of these remediation actions.,management has reported to the audit committee the status of these remediation actions,150,0,0,REMEDIATION,0,other,0,1,0,False,False,10.0,0,0,trainval,ISSUE,0.5505325942729662,0.0495897010924848,0.3998777046345489,0.5505325942729662,0.1506548896384172,1,0,e5_logreg,disagreement,7,5,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
171,0000739608_2014_4,19,"remediation of previously disclosed material weaknesses in connection with the evaluation of internal control over financial reporting as of august 31, 2013, the company identified that a material weakness in internal control over financial reporting existed relating to the effective design of controls over the accuracy of prices used to value ending inventory.",remediation of previously disclosed material weaknesses in connection with the evaluation of internal control over financial reporting as of <month> <num> <year> the company identified that a material weakness in internal control over financial reporting existed relating to the effective design of controls over the accuracy of prices used to value ending inventory,2014-08-31,739608,"kpmg llp, an independent registered public accounting firm, has audited the consolidated financial statements included in this annual report on form 10-k and, as part of its audit, has issued an audit report on the effectiveness of the company’s internal control over financial reporting, which is included in item 8 of this form 10-k.",kpmg llp an independent registered public accounting firm has audited the consolidated financial statements included in this annual report on form <num> k and as part of its audit has issued an audit report on the effectiveness of the company s internal control over financial reporting which is included in item <num> of this form <num> k,366,0,0,REMEDIATION,0,other,0,1,0,False,True,19.0,0,0,trainval,ISSUE,0.5506367533009905,0.0512732913310085,0.3980899553680008,0.5506367533009905,0.1525467979329896,1,0,e5_logreg,disagreement,10,6,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
573,0001285224_2010_4,23,the consolidated financial statements contained in this annual report on form 10-k reflect such material adjustments.,the consolidated financial statements contained in this annual report on form <num> k reflect such material adjustments,2010-12-31,1285224,"in addition, there was an increase in the classification of nonperforming loans of $6.6 million.",in addition there was an increase in the classification of nonperforming loans of $ <num> <num> million,119,1,0,ISSUE,0,other,1,0,0,False,False,26.0,0,0,trainval,ISSUE,0.5730476901045585,0.0225628622204963,0.4043894476749452,0.5730476901045585,0.1686582424296132,1,0,e5_logreg,disagreement,31,7,OTHER,0,0,effect,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,material adjustments outcome statement
1142,0000072911_2005_4,8,"52; . lack of sufficient personnel with appropriate knowledge, experience and training in u.s.",<num> lack of sufficient personnel with appropriate knowledge experience and training in u s,2005-12-31,72911,"these material weaknesses, which are the same material weaknesses that existed as at december 31, 2004 and as first reported in our 2003 annual report, are. lack of compliance with written nortel procedures for monitoring and adjusting balances related to certain accruals and provisions, including restructuring charges and contract and customer accruals; . lack of compliance with nortel procedures for appropriately applying applicable gaap to the initial recording of certain liabilities, including those described in sfas no. 5, and to foreign currency translation as described in sfas no.",these material weaknesses which are the same material weaknesses that existed as at <month> <num> <year> and as first reported in our <year> annual report are lack of compliance with written nortel procedures for monitoring and adjusting balances related to certain accruals and provisions including restructuring charges and contract and customer accruals lack of compliance with nortel procedures for appropriately applying applicable gaap to the initial recording of certain liabilities including those described in sfas no <num> and to foreign currency translation as described in sfas no,92,1,0,OTHER,0,background,0,0,0,False,False,10.0,0,1,trainval,ISSUE,0.5690640333058918,0.0420130030869086,0.3889229636071996,0.5690640333058918,0.1801410696986922,1,0,e5_logreg,disagreement,70,8,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
1524,0000315545_2016_4,22,"management’s review of the year’s activities in combination with its assessment of internal controls at december 31, 2016 identified the below-described material weaknesses.",management s review of the year s activities in combination with its assessment of internal controls at <month> <num> <year> identified the below described material weaknesses,2016-12-31,315545,"marcum llp has issued an attestation report on our internal control over financial reporting as of december 31, 2016, which is set forth below.",marcum llp has issued an attestation report on our internal control over financial reporting as of <month> <num> <year> which is set forth below,175,0,0,OTHER,0,background,0,0,0,False,False,43.0,0,1,trainval,ISSUE,0.5791131450159942,0.0456832191400536,0.3752036358439521,0.5791131450159942,0.2039095091720421,0,1,e5_logreg,disagreement,96,9,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
1558,0001376339_2019_4,16,the company identified material weaknesses corresponding to the control environment and control activities components of internal control as defined by coso as described below.,the company identified material weaknesses corresponding to the control environment and control activities components of internal control as defined by coso as described below,2019-12-31,1376339,management has reported to the audit committee the status of these remediation actions.,management has reported to the audit committee the status of these remediation actions,175,0,0,REMEDIATION,0,other,0,1,0,False,False,12.0,0,0,test,ISSUE,0.553676294566765,0.1047475773321764,0.3415761281010585,0.553676294566765,0.2121001664657065,0,1,e5_logreg,disagreement,98,10,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
1520,0000315545_2016_4,6,"in general, our controls and procedures are designed to provide reasonable assurance that our control system’s objective will be met, and our principal executive officer and principal financial officer has concluded that our disclosure controls and procedures are not effective at the reasonable assurance level.",in general our controls and procedures are designed to provide reasonable assurance that our control system s objective will be met and our principal executive officer and principal financial officer has concluded that our disclosure controls and procedures are not effective at the reasonable assurance level,2016-12-31,315545,"evaluation of disclosure controls and procedures management, with the participation of our principal executive officer and principal financial officer, carried out an evaluation of the effectiveness of the design and operation of our disclosure controls and procedures, as defined in rules 13a-15. and 15d-15. under the exchange act.",evaluation of disclosure controls and procedures management with the participation of our principal executive officer and principal financial officer carried out an evaluation of the effectiveness of the design and operation of our disclosure controls and procedures as defined in rules 13a <num> and 15d <num> under the exchange act,309,0,0,OTHER,0,background,0,0,0,True,False,43.0,0,1,trainval,ISSUE,0.5369709052128141,0.1558533184375135,0.3071757763496724,0.5369709052128141,0.2297951288631416,0,1,e5_logreg,disagreement,95,11,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
686,0001704711_2023_4,6,"information and communication – we have not completed the design and operation of gitcs, supporting change management, user access and segregation of duties controls within our us erp and systems related to our digital collectibles business.",information and communication we have not completed the design and operation of gitcs supporting change management user access and segregation of duties controls within our us erp and systems related to our digital collectibles business,2023-12-31,1704711,"the following previously identified material weaknesses remain unremediated as of december 31, 2023.",the following previously identified material weaknesses remain unremediated as of <month> <num> <year>,236,0,0,OTHER,0,background,0,0,0,False,False,10.0,0,1,trainval,ISSUE,0.557299468480272,0.1200799481468577,0.3226205833728702,0.557299468480272,0.2346788851074018,0,1,e5_logreg,disagreement,38,12,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
320,0001289945_2007_4,7,during the year-end procedures for calculating the annual income tax provision the company reassessed the evidence supporting the reversal of income tax liabilities impacted by expiration of assessment statutes.,during the year end procedures for calculating the annual income tax provision the company reassessed the evidence supporting the reversal of income tax liabilities impacted by expiration of assessment statutes,2007-12-31,1289945,specifically the company did not maintain effective controls to review and monitor the accuracy of the components of the third quarter income tax provision calculation.,specifically the company did not maintain effective controls to review and monitor the accuracy of the components of the third quarter income tax provision calculation,210,0,0,OTHER,0,effect,0,0,0,False,False,12.0,0,1,trainval,ISSUE,0.5644330459332422,0.3214476434655982,0.1141193106011597,0.5644330459332422,0.242985402467644,0,1,e5_logreg,disagreement,15,13,OTHER,0,0,background,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,"describes reassessment step, not weakness or fix"
1473,0000216039_2008_4,14,"during fiscal year 2008, we continued our remediation with respect to our previously disclosed material weakness related to stock based compensation as well as remediation efforts related to the material weakness discussed above.",during fiscal year <year> we continued our remediation with respect to our previously disclosed material weakness related to stock based compensation as well as remediation efforts related to the material weakness discussed above,2008-12-31,216039,"changes in internal control over financial reporting management has evaluated, with the participation of our interim chief executive officer and chief financial officer, whether any changes in our internal control over financial reporting that occurred during our last fiscal quarter have materially affected, or are reasonably likely to materially affect, our internal control over financial reporting.",changes in internal control over financial reporting management has evaluated with the participation of our interim chief executive officer and chief financial officer whether any changes in our internal control over financial reporting that occurred during our last fiscal quarter have materially affected or are reasonably likely to materially affect our internal control over financial reporting,229,0,0,REMEDIATION,0,other,0,1,0,False,True,1.0,0,0,trainval,ISSUE,0.5467143815464517,0.1570258007532702,0.2962598177002781,0.5467143815464517,0.2504545638461735,0,1,e5_logreg,disagreement,92,14,OTHER,0,0,status,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,continued remediation status
1353,0000835011_2006_4,38,these practices could result in unauthorized or undocumented purchases.,these practices could result in unauthorized or undocumented purchases,2006-06-30,835011,"our personnel have sometimes failed to use or maintain required requisition forms in the purchase of maintenance, electrical and chemical type items.",our personnel have sometimes failed to use or maintain required requisition forms in the purchase of maintenance electrical and chemical type items,70,1,1,ISSUE,0,other,1,0,0,False,False,43.0,0,0,test,ISSUE,0.5998694671765458,0.0920369003568532,0.308093632466601,0.5998694671765458,0.2917758347099448,0,1,e5_logreg,disagreement,83,15,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
182,0001401257_2017_4,8,"this adjustment was recorded prior to the issuance of the company’s consolidated financial statements as of and for the fiscal year ended december 31, 2017.",this adjustment was recorded prior to the issuance of the company s consolidated financial statements as of and for the fiscal year ended <month> <num> <year>,2017-12-31,1401257,"this control deficiency resulted in an adjustment to the gain realized upon the consolidation of global tubing, llc.",this control deficiency resulted in an adjustment to the gain realized upon the consolidation of global tubing llc,158,0,1,ISSUE,0,other,1,0,0,False,False,16.0,0,0,trainval,ISSUE,0.617954840902191,0.0578873860095633,0.3241577730882456,0.617954840902191,0.2937970678139453,0,1,e5_logreg,disagreement,11,16,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,adjustment tied to control deficiency
980,0001040570_2007_4,13,during the 2007 year-end procedures for calculating the annual income tax provision the company reassessed the application of the pre-reorganization nols against 2007 taxable income with regard to a change of control as defined in section 382 of the internal revenue code of 1986.,during the <year> year end procedures for calculating the annual income tax provision the company reassessed the application of the pre reorganization nols against <year> taxable income with regard to a change of control as defined in section <num> of the internal revenue code of <year>,2007-12-31,1040570,85 . income taxes and utilization of net operating loss (“nol”) carryforwards.,<num> income taxes and utilization of net operating loss nol carryforwards,287,0,0,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.5848497870684375,0.1804161017157835,0.234734111215779,0.5848497870684375,0.3501156758526584,0,1,e5_logreg,disagreement,54,17,OTHER,0,0,background,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,tax reassessment procedure description
40,0001002388_2006_4,23,"therefore, we have restated our previously issued consolidated financial statements to remove all historical capitalization of product development costs and related assets and amortization.",therefore we have restated our previously issued consolidated financial statements to remove all historical capitalization of product development costs and related assets and amortization,2006-03-31,1002388,"using this revised methodology, we have determined that costs eligible for capitalization under sfas no. 86 would not be material.",using this revised methodology we have determined that costs eligible for capitalization under sfas no <num> would not be material,187,0,1,OTHER,0,background,0,0,0,False,False,,0,1,trainval,ISSUE,0.5919569664624232,0.1716708911479472,0.2363721423896295,0.5919569664624232,0.3555848240727937,0,1,e5_logreg,disagreement,3,18,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
1131,0001624322_2024_4,21,"management’s remediation plan as noted above, during management’s assessment of internal control over financial reporting, a material weakness was identified related to the design and operation of itgcs at our third party service provider.",management s remediation plan as noted above during management s assessment of internal control over financial reporting a material weakness was identified related to the design and operation of itgcs at our third party service provider,2024-12-31,1624322,"the effectiveness of our internal control over financial reporting as of december 31, 2024 has also been audited by forvis mazars, llp, an independent registered public accounting firm, as stated in their report which is included herein.",the effectiveness of our internal control over financial reporting as of <month> <num> <year> has also been audited by forvis mazars llp an independent registered public accounting firm as stated in their report which is included herein,236,0,0,REMEDIATION,0,other,0,1,0,True,True,21.0,0,0,trainval,ISSUE,0.5878787688294461,0.1937758879808757,0.2183453431896781,0.5878787688294461,0.369533425639768,0,1,e5_logreg,disagreement,66,19,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
376,0000717954_2023_4,19,"following identification of the material weakness and prior to filing this annual report on form 10-k, we completed substantive procedures for the year ended august 26, 2023 over our revenue, accounts receivable, supply inventory and merchandise in service.",following identification of the material weakness and prior to filing this annual report on form <num> k we completed substantive procedures for the year ended <month> <num> <year> over our revenue accounts receivable supply inventory and merchandise in service,2023-08-26,717954,"our independent registered accounting firm, ernst & young llp has issued an adverse audit report on the effectiveness of our internal control over financial reporting as of august 26, 2023, which is included in item 8 of this annual report on form 10-k.",our independent registered accounting firm ernst young llp has issued an adverse audit report on the effectiveness of our internal control over financial reporting as of <month> <num> <year> which is included in item <num> of this annual report on form <num> k,261,0,0,REMEDIATION,0,other,0,1,0,False,False,14.0,0,0,trainval,ISSUE,0.6584921324862348,0.1071537087465883,0.2343541587671767,0.6584921324862348,0.424137973719058,0,1,e5_logreg,disagreement,19,20,OTHER,0,0,status,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,substantive procedures before filing
344,0000317477_2010_4,35,the company began to execute the remediation plans identified above in the first fiscal quarter of 2011.,the company began to execute the remediation plans identified above in the first fiscal quarter of <year>,2010-09-30,317477,"(3) documenting to standards established by senior accounting personnel and the principal accounting officer the review, analysis and related conclusions with respect to complex, non-routine transactions; (4) evaluating an internal audit function in relation to the company's financial resources and requirements; (5) investing in additional enhancements to our it systems including enhancements to processing manufacturing and inventory transactions, and security over user access and administration; (6) creating policy and procedures manuals for the accounting, finance and it functions; and (7) improving our purchasing and accounts payable cycle controls.",<num> documenting to standards established by senior accounting personnel and the principal accounting officer the review analysis and related conclusions with respect to complex non routine transactions <num> evaluating an internal audit function in relation to the company s financial resources and requirements <num> investing in additional enhancements to our it systems including enhancements to processing manufacturing and inventory transactions and security over user access and administration <num> creating policy and procedures manuals for the accounting finance and it functions and <num> improving our purchasing and accounts payable cycle controls,105,1,0,REMEDIATION,0,other,0,1,0,False,True,35.0,0,0,test,OTHER,0.0276362311759728,0.4860923736227877,0.4862713952012393,0.4862713952012393,0.0001790215784516,1,0,e5_logreg,margin,17,21,OTHER,0,0,status,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,remediation execution status
1229,0001087934_2014_4,16,we have initiated and/or completed the following actions once the material weakness was identified in the fourth quarter of 2014.,we have initiated and or completed the following actions once the material weakness was identified in the fourth quarter of <year>,2014-12-31,1087934,"41 remediation efforts in response to the material weakness described above, our management, with the oversight from our audit committee of the board of directors, plans to take measures to remediate the underlying causes of the material weakness.",<num> remediation efforts in response to the material weakness described above our management with the oversight from our audit committee of the board of directors plans to take measures to remediate the underlying causes of the material weakness,130,1,0,REMEDIATION,0,other,0,1,0,True,False,13.0,0,0,trainval,REMEDIATION,0.4473996984789783,0.4481199634413579,0.1044803380796637,0.4481199634413579,0.0007202649623795,1,0,e5_logreg,margin,73,22,OTHER,0,1,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,lead-in header for action list
568,0001285224_2010_4,18,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer.,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer,2010-12-31,1285224,"additionally, these processes lacked effective supervision and oversight by the former chief executive officer and other lending management personnel.",additionally these processes lacked effective supervision and oversight by the former chief executive officer and other lending management personnel,170,0,0,OTHER,0,background,0,0,0,False,False,26.0,0,1,trainval,ISSUE,0.4136982109712752,0.4093363881797707,0.1769654008489539,0.4136982109712752,0.0043618227915044,1,0,e5_logreg,margin,29,23,OTHER,0,0,background,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,executive change background
87,0000215419_2013_4,22,the remediation efforts in process or expected to be implemented include the following.,the remediation efforts in process or expected to be implemented include the following,2013-12-29,215419,management has been actively engaged in developing remediation plans to address the above material weakness.,management has been actively engaged in developing remediation plans to address the above material weakness,86,1,0,REMEDIATION,0,other,0,1,0,False,True,20.0,0,0,trainval,REMEDIATION,0.0029095702338241,0.5009037565734424,0.4961866731927335,0.5009037565734424,0.0047170833807089,1,0,e5_logreg,margin,5,24,OTHER,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,summary sentence introducing actions
569,0001285224_2010_4,19,provision for loan losses.,provision for loan losses,2010-12-31,1285224,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer.,our former chief executive officer resigned following the revelation of these activities to our board of directors and was replaced by our present chief executive officer,25,1,0,OTHER,0,background,0,0,0,False,False,26.0,0,1,trainval,OTHER,0.4682966603162842,0.0578675645393433,0.4738357751443725,0.4738357751443725,0.0055391148280882,1,0,e5_logreg,margin,30,25,OTHER,0,1,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,fragment only
1095,0001129633_2015_4,97,"we have taken, or will take, the following actions.",we have taken or will take the following actions,2015-12-31,1129633,"the company has planned and will implement significant measures in an effort to remediate its material weaknesses that remain as of december 31, 2015; each designed to address key risks within the organization and remediate the root cause of the identified deficiencies.",the company has planned and will implement significant measures in an effort to remediate its material weaknesses that remain as of <month> <num> <year> each designed to address key risks within the organization and remediate the root cause of the identified deficiencies,48,1,0,REMEDIATION,0,other,0,1,0,False,False,9.0,0,0,test,REMEDIATION,0.0078478652882341,0.4988968038247881,0.4932553308869776,0.4988968038247881,0.0056414729378105,1,0,e5_logreg,margin,65,26,OTHER,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,summary sentence introducing actions
1238,0001504747_2014_4,9,&#9679; we did not maintain effective controls over certain control activities.,<year> we did not maintain effective controls over certain control activities,2014-12-31,1504747,&#9679; we did not maintain an effective control environment as we lacked sufficient oversight of activities related to our internal control over financial reporting.,<year> we did not maintain an effective control environment as we lacked sufficient oversight of activities related to our internal control over financial reporting,77,1,0,OTHER,0,background,0,0,0,True,False,28.0,0,1,trainval,OTHER,0.4951748353496931,0.0024320239021272,0.5023931407481795,0.5023931407481795,0.0072183053984863,1,0,e5_logreg,margin,75,27,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
977,0000799850_2025_4,22,"however, no assurance can be given that these changes will remediate the material weakness until such time that the controls have operated for a sufficient period of time and their operating effectiveness has been tested.",however no assurance can be given that these changes will remediate the material weakness until such time that the controls have operated for a sufficient period of time and their operating effectiveness has been tested,2025-04-30,799850,enhanced training programs for control operators.,enhanced training programs for control operators,219,0,1,REMEDIATION,0,other,0,1,0,False,True,16.0,0,0,trainval,ISSUE,0.4941611314850547,0.0215195062163413,0.4843193622986039,0.4941611314850547,0.0098417691864508,1,0,e5_logreg,margin,53,28,OTHER,0,0,status,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,remediation not yet proven effective
1471,0000216039_2008_4,12,these actions are reasonably likely to materially affect our internal control over financial reporting.,these actions are reasonably likely to materially affect our internal control over financial reporting,2008-12-31,216039,"however, because many of the remedial actions we have undertaken are very recent and because they relate, in part, to the hiring of additional personnel and many of the controls in our system of internal controls rely extensively on manual review and approval, the successful operation of these controls for, at least, several fiscal quarters may be required prior to management being able to conclude that the material weakness has been eliminated.",however because many of the remedial actions we have undertaken are very recent and because they relate in part to the hiring of additional personnel and many of the controls in our system of internal controls rely extensively on manual review and approval the successful operation of these controls for at least several fiscal quarters <month> be required prior to management being able to conclude that the material weakness has been eliminated,102,1,1,REMEDIATION,0,other,0,1,0,False,False,1.0,0,0,trainval,ISSUE,0.4302525382292857,0.1512651155081546,0.4184823462625597,0.4302525382292857,0.011770191966726,1,0,e5_logreg,margin,91,29,OTHER,0,0,effect,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,effect of actions on ICFR
34,0001002388_2006_4,17,we did not maintain effective controls over the application of sfas no.,we did not maintain effective controls over the application of sfas no,2006-03-31,1002388,accounting for software development costs.,accounting for software development costs,70,1,0,OTHER,0,background,0,0,0,True,False,,0,1,trainval,ISSUE,0.5051834117337974,0.0054956470802364,0.4893209411859662,0.5051834117337974,0.0158624705478312,1,0,e5_logreg,margin,1,30,ISSUE,0,0,other,codex_round2_pass2,guideline_v1_round2_stage_a_pass2,
