row_id,doc_id,sent_id,text_raw,text_norm,quarter_end,cik,prev_text_raw,prev_text_norm,text_len_chars,short_sentence,heuristic_needs_context,proxy_label_main,proxy_flag_mixed_ab,proxy_c_subtype,legacy_hint_impact,legacy_hint_remediation,legacy_hint_attestation,legacy_hint_find_opinion,legacy_hint_find_remedia_header,legacy_hint_remedia_start_seq,legacy_ab,legacy_negative,split,pred_label,prob_A,prob_B,prob_C,prob_max,margin_top2,review_flag,auto_accept,model_version,uncertainty_score
582,0001285224_2010_4,35,"because of the material weakness as previously described, there was a change in our internal controls over financial reporting during the year ended december 31, 2010 that materially affected, or are reasonably likely to materially affect, our internal controls over financial reporting.",because of the material weakness as previously described there was a change in our internal controls over financial reporting during the year ended <month> <num> <year> that materially affected or are reasonably likely to materially affect our internal controls over financial reporting,2010-12-31,1285224,"although the company's remediation efforts are well underway and are expected to be completed in the near future, the company's weaknesses will not be considered remediated until new internal controls are operational for a period of time and are tested, and management and concludes that these controls are operating effectively.",although the company s remediation efforts are well underway and are expected to be completed in the near future the company s weaknesses will not be considered remediated until new internal controls are operational for a period of time and are tested and management and concludes that these controls are operating effectively,286,0,0,B,0,other,0,1,0,False,False,26.0,0,0,trainval,A,0.3544330981523926,0.34542816704609774,0.3001387348015096,0.3544330981523926,0.009004931106294856,1,0,e5_logreg,1.6365619707413126
1324,0000886163_2005_4,8,"these circumstances, coupled with the loss of key accounting and internal audit personnel during the restatement process, contributed to the existence of four additional material weaknesses relating to the company’s internal control over financial reporting, as follows. 1) the inability of the company to maintain an effective independent internal audit department; 2) the existence of ineffective spreadsheet controls used in connection with the company’s financial processes, including review, testing, access and integrity controls; 3) the existence of accounting system access rights granted to certain members of the company’s accounting and finance department that are incompatible with the current roles and duties of such individuals (i.e. segregation of duties); and 4) the inability of management to properly maintain the company’s documentation of the internal control over financial reporting during 2005 or to substantively commence the process to update such documentation and assessment until december 2005.",these circumstances coupled with the loss of key accounting and internal audit personnel during the restatement process contributed to the existence of four additional material weaknesses relating to the company s internal control over financial reporting as follows <num> the inability of the company to maintain an effective independent internal audit department <num> the existence of ineffective spreadsheet controls used in connection with the company s financial processes including review testing access and integrity controls <num> the existence of accounting system access rights granted to certain members of the company s accounting and finance department that are incompatible with the current roles and duties of such individuals i e segregation of duties and <num> the inability of management to properly maintain the company s documentation of the internal control over financial reporting during <year> or to substantively commence the process to update such documentation and assessment until <month> <year>,2005-12-31,886163,"additionally, management’s process for assessing the company’s internal control over financial reporting, as of december 31, 2005 was delayed as a result of the restatement of the company’s prior years’ consolidated financial statements which did not conclude until late 2005.",additionally management s process for assessing the company s internal control over financial reporting as of <month> <num> <year> was delayed as a result of the restatement of the company s prior years consolidated financial statements which did not conclude until late <year>,1024,0,1,C,1,background,1,1,0,False,False,4.0,1,0,trainval,C,0.33227193834821406,0.31923910727362914,0.3484889543781568,0.3484889543781568,0.016217016029942743,1,0,e5_logreg,1.6352940295919005
545,0000890801_2005_4,10,"because the controls did not operate consistently in a timely manner throughout the interim periods of 2005, there was insufficient evidence at december 31, 2005 to demonstrate that the 2004 material weakness related to the financial close process had been remediated.",because the controls did not operate consistently in a timely manner throughout the interim periods of <year> there was insufficient evidence at <month> <num> <year> to demonstrate that the <year> material weakness related to the financial close process had been remediated,2005-12-31,890801,"further, management believes many of the errors were identified as a direct result of our ongoing remediation efforts.",further management believes many of the errors were identified as a direct result of our ongoing remediation efforts,273,0,0,B,0,other,0,1,0,False,True,8.0,0,0,trainval,C,0.3777161079872902,0.23080502850609616,0.3914788635066136,0.3914788635066136,0.013762755519323377,1,0,e5_logreg,1.594758380974063
258,0000922487_2007_4,10,"102 (sab no. 102), due primarily to documentation deficiencies and the failure to obtain updated appraisals; and .",<num> sab no <num> due primarily to documentation deficiencies and the failure to obtain updated appraisals and,2007-12-31,922487,114 (sfas no. 114) and sec staff accounting bulletin no.,<num> sfas no <num> and sec staff accounting bulletin no,111,1,0,B,0,other,0,1,0,False,False,4.0,0,0,trainval,A,0.39212722868909705,0.23479482623379558,0.3730779450771074,0.39212722868909705,0.019049283611989654,1,0,e5_logreg,1.5888234876989134
1635,0001395942_2022_4,14,misstatements of quarterly periods in 2022 are in the process of being restated and there was no impact on prior years’ financial statements as a result of these control deficiencies.,misstatements of quarterly periods in <year> are in the process of being restated and there was no impact on prior years financial statements as a result of these control deficiencies,2022-12-31,1395942,"misstatements of operating cash flows between continuing and discontinued operations and between operating and financing cash flows for payment of contingent consideration were corrected for the year-ended december 31, 2022 prior to the issuance of this annual report on form 10-k.",misstatements of operating cash flows between continuing and discontinued operations and between operating and financing cash flows for payment of contingent consideration were corrected for the year ended <month> <num> <year> prior to the issuance of this annual report on form <num> k,183,0,0,A,0,other,1,0,0,False,False,,0,0,test,B,0.42194873803469696,0.42272943158123116,0.1553218303840718,0.42272943158123116,0.0007806935465342058,1,0,e5_logreg,1.5764898748722347
1373,0000089089_2007_4,15,"109” (fin 48) and various audit adjustments to the consolidated financial statements in the second, third, and fourth quarters of 2007.",<num> fin <num> and various audit adjustments to the consolidated financial statements in the second third and fourth quarters of <year>,2007-12-31,89089,"this control deficiency resulted in the fourth quarter 2007 revision of the company’s adoption impact of fin 48, “accounting for uncertainty in income taxes — an interpretation of fasb statement no.",this control deficiency resulted in the fourth quarter <year> revision of the company s adoption impact of fin <num> accounting for uncertainty in income taxes an interpretation of fasb statement no,136,1,0,A,0,other,1,0,0,False,False,25.0,0,0,test,A,0.41446611177550535,0.40537736011379105,0.1801565281107036,0.41446611177550535,0.0090887516617143,1,0,e5_logreg,1.5764451365627803
1490,0000790703_2013_4,19,"within each of these subsidiaries, controls over manual journal entries were circumvented by local personnel and key balance sheet account reconciliation controls normally in place to detect such errors were overridden.",within each of these subsidiaries controls over manual journal entries were circumvented by local personnel and key balance sheet account reconciliation controls normally in place to detect such errors were overridden,2013-01-31,790703,this inadequate control environment failed to prevent the circumvention of internal controls by local personnel within these subsidiaries.,this inadequate control environment failed to prevent the circumvention of internal controls by local personnel within these subsidiaries,217,0,0,C,0,background,0,0,0,False,False,39.0,0,1,test,A,0.3714473171123409,0.31908632556062905,0.3094663573270301,0.3714473171123409,0.052360991551711866,1,0,e5_logreg,1.5761916913359473
27,0001002388_2006_4,8,"a material weakness is defined as a control deficiency, or combination of control deficiencies, that results in more than a remote likelihood that a material .",a material weakness is defined as a control deficiency or combination of control deficiencies that results in more than a remote likelihood that a material,2006-03-31,1002388,"based on our evaluation under the framework set forth in internal control—integrated framework, our management identified certain control deficiencies that represent material weaknesses in our internal control over financial reporting as of march 31, 2006.",based on our evaluation under the framework set forth in internal control integrated framework our management identified certain control deficiencies that represent material weaknesses in our internal control over financial reporting as of <month> <num> <year>,155,0,0,C,0,background,0,0,0,False,False,,0,1,trainval,A,0.40521622537352525,0.37695673418815234,0.21782704043832238,0.40521622537352525,0.02825949118537291,1,0,e5_logreg,1.566524283441102
372,0000717954_2023_4,15,the material weakness as of the end of fiscal 2023 includes deficiencies in our manage change and manage access processes that were not designed and operating effectively as of date of our assessment.,the material weakness as of the end of fiscal <year> includes deficiencies in our manage change and manage access processes that were not designed and operating effectively as of date of our assessment,2023-08-26,717954,"while we worked during fiscal 2023 to remediate the previously identified material weakness, we were unable to fully remediate the material weakness prior to the end of fiscal 2023.",while we worked during fiscal <year> to remediate the previously identified material weakness we were unable to fully remediate the material weakness prior to the end of fiscal <year>,201,0,0,B,0,other,0,1,0,False,False,14.0,0,0,trainval,C,0.13659094954580767,0.4303311559865965,0.4330778944675959,0.4330778944675959,0.0027467384809994333,1,0,e5_logreg,1.5641753670514047
1376,0000089089_2007_4,20,"specifically, our controls related to the preparation and review of account reconciliations related to certain trust accounts, cemetery properties, leases, divested properties, merchandise inventory, and sales and property taxes were not adequate to ensure the accurate and complete presentation of these balance sheet and related income statement accounts in accordance with us gaap.",specifically our controls related to the preparation and review of account reconciliations related to certain trust accounts cemetery properties leases divested properties merchandise inventory and sales and property taxes were not adequate to ensure the accurate and complete presentation of these balance sheet and related income statement accounts in accordance with us gaap,2007-12-31,89089,"as of december 31, 2007, we did not maintain effective controls over the timely completion and review of certain of our balance sheet account reconciliations, including reconciliations related to our outsourced accounting functions and accounts acquired in our recent alderwoods transaction.",as of <month> <num> <year> we did not maintain effective controls over the timely completion and review of certain of our balance sheet account reconciliations including reconciliations related to our outsourced accounting functions and accounts acquired in our recent alderwoods transaction,377,0,0,C,0,background,0,0,0,False,False,25.0,0,1,test,A,0.3968924253194918,0.24578635688231085,0.3573212177981973,0.3968924253194918,0.039571207521294505,1,0,e5_logreg,1.5635363671592137
1350,0000835011_2006_4,35,an adequate audit trail does not exist that would substantiate any adjustments made to perpetual inventories as a result of performing physical inventories.,an adequate audit trail does not exist that would substantiate any adjustments made to perpetual inventories as a result of performing physical inventories,2006-06-30,835011,"our personnel have sometimes failed either to understand or follow procedures for performing monthly/annual physical inventories of maintenance materials, electrical materials and chemicals in our atchison, kansas and pekin, illinois facilities.",our personnel have sometimes failed either to understand or follow procedures for performing monthly annual physical inventories of maintenance materials electrical materials and chemicals in our atchison kansas and pekin illinois facilities,155,0,0,A,0,other,1,0,0,False,False,43.0,0,0,test,C,0.3727193740990566,0.22020965438648962,0.4070709715144538,0.4070709715144538,0.03435159741539723,1,0,e5_logreg,1.558577431070149
182,0001401257_2017_4,8,"this adjustment was recorded prior to the issuance of the company’s consolidated financial statements as of and for the fiscal year ended december 31, 2017.",this adjustment was recorded prior to the issuance of the company s consolidated financial statements as of and for the fiscal year ended <month> <num> <year>,2017-12-31,1401257,"this control deficiency resulted in an adjustment to the gain realized upon the consolidation of global tubing, llc.",this control deficiency resulted in an adjustment to the gain realized upon the consolidation of global tubing llc,158,0,1,A,0,other,1,0,0,False,False,16.0,0,0,trainval,C,0.345211924878239,0.26023611993748746,0.39455195518427355,0.39455195518427355,0.049340030306034566,1,0,e5_logreg,1.556108014509692
66,0000910638_2007_4,29,we reviewed the effect of this material weakness on each accounting period that was affected and concluded that it did not result in a material misstatement of our financial statements in any accounting period.,we reviewed the effect of this material weakness on each accounting period that was affected and concluded that it did not result in a material misstatement of our financial statements in any accounting period,2007-12-31,910638,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue.,certain processes adopted by this service provider affected the accurate accounting for inventory and our timing of the recognition of the related revenue,209,0,0,C,1,effect,1,1,0,False,False,6.0,1,0,test,A,0.38181274036204016,0.31924354256506465,0.29894371707289524,0.38181274036204016,0.0625691977969755,1,0,e5_logreg,1.5556180618409843
749,0000918958_2006_4,21,"as a result of this material weakness, net income for the years ended december 31, 1997 through 2005 was overstated.",as a result of this material weakness net income for the years ended <month> <num> <year> through <year> was overstated,2006-12-31,918958,"we identified that the selection, application and monitoring of accounting policies utilized by a consolidated subsidiary resulted in the incorrect application of generally accepted accounting principles associated with the classification of a club membership intangible asset.",we identified that the selection application and monitoring of accounting policies utilized by a consolidated subsidiary resulted in the incorrect application of generally accepted accounting principles associated with the classification of a club membership intangible asset,119,1,1,B,0,other,0,1,0,False,False,9.0,0,0,trainval,A,0.4436756877516759,0.11647105593877356,0.4398532563095505,0.4436756877516759,0.0038224314421253514,1,0,e5_logreg,1.5525018808061988
1336,0000835011_2006_4,21,the error involves the computation of monthly inventory balances for chemicals and packaging materials inventories.,the error involves the computation of monthly inventory balances for chemicals and packaging materials inventories,2006-06-30,835011,"(the company ceased using this application commencing july 1, 2006.)",the company ceased using this application commencing <month> <num> <year>,114,1,0,C,0,background,0,0,0,False,False,43.0,0,1,test,A,0.4171482992254811,0.19940908847170355,0.38344261230281546,0.4171482992254811,0.03370568692266562,1,0,e5_logreg,1.5491460138518534
58,0000910638_2007_4,21,"a “significant deficiency” is a deficiency, or combination of deficiencies, in internal control over financial reporting that is less severe than a material weakness, yet important enough to merit attention by those responsible for oversight of financial reporting.",a significant deficiency is a deficiency or combination of deficiencies in internal control over financial reporting that is less severe than a material weakness yet important enough to merit attention by those responsible for oversight of financial reporting,2007-12-31,910638,"these actions may also be regarded as material changes in our internal control over financial reporting that have occurred since december 31, 2006.",these actions <month> also be regarded as material changes in our internal control over financial reporting that have occurred since <month> <num> <year>,259,0,0,B,0,other,0,1,0,False,False,6.0,0,0,test,B,0.3311885342706582,0.3916980356026037,0.2771134301267381,0.3916980356026037,0.06050950133194549,1,0,e5_logreg,1.547792463065451
602,0000317788_2016_4,8,we have identified deficiencies in the design and/or operations of our controls associated with the financial close and reporting process that in the aggregate represent a material weakness including. deficiencies in control design and operating effectiveness relating to manual processes performed in spreadsheets used for consolidation and stock compensation; (ii) deficiencies in operating effectiveness of controls over reconciliations of balance sheet accounts and review of journal entries; and (iii) deficiencies in operating effectiveness of controls over review of financial statements for compliance with gaap and sec reporting requirements.,we have identified deficiencies in the design and or operations of our controls associated with the financial close and reporting process that in the aggregate represent a material weakness including deficiencies in control design and operating effectiveness relating to manual processes performed in spreadsheets used for consolidation and stock compensation ii deficiencies in operating effectiveness of controls over reconciliations of balance sheet accounts and review of journal entries and iii deficiencies in operating effectiveness of controls over review of financial statements for compliance with gaap and sec reporting requirements,2016-03-31,317788,,,643,0,0,C,0,background,0,0,0,False,False,15.0,0,1,trainval,C,0.21827363824699778,0.37017371888264544,0.4115526428703568,0.4115526428703568,0.04137892398771137,1,0,e5_logreg,1.5470684331419318
739,0000918958_2006_4,11,"as a result of this material weakness, net income for the years ending december 31, 1998 through 2005 was understated.",as a result of this material weakness net income for the years ending <month> <num> <year> through <year> was understated,2006-12-31,918958,"we identified that our preparation and review of the calculation of minority interest associated with our series a and series b preferred share offerings resulted in an incorrect allocation of net income between us and the other limited partners of the operating partnership, whom we refer to as unitholders.",we identified that our preparation and review of the calculation of minority interest associated with our series a and series b preferred share offerings resulted in an incorrect allocation of net income between us and the other limited partners of the operating partnership whom we refer to as unitholders,121,1,1,B,0,other,0,1,0,False,False,9.0,0,0,trainval,A,0.4527050460895387,0.09610966717152684,0.4511852867389344,0.4527050460895387,0.0015197593506043328,1,0,e5_logreg,1.545775194559857
1345,0000835011_2006_4,30,"although management does perform analyses of account balance variances on a monthly basis that it believes should address the risk of misstatements in the financial statements with respect to such materials, and holds monthly financial meetings addressing such issues, these detective controls do not completely mitigate the risk of unauthorized or undocumented removal of items from stockroom facilities.",although management does perform analyses of account balance variances on a monthly basis that it believes should address the risk of misstatements in the financial statements with respect to such materials and holds monthly financial meetings addressing such issues these detective controls do not completely mitigate the risk of unauthorized or undocumented removal of items from stockroom facilities,2006-06-30,835011,"as a result, financial statement presentation of such items could be affected, particularly our interim statement in connection with which we do not perform physical inventories at period end.",as a result financial statement presentation of such items could be affected particularly our interim statement in connection with which we do not perform physical inventories at period end,402,0,0,A,0,other,1,0,0,False,False,43.0,0,0,test,B,0.28520243475584034,0.389957203959497,0.32484036128466265,0.389957203959497,0.06511684267483436,1,0,e5_logreg,1.5449259533656687
1249,0001504747_2014_4,21,these control failures contributed to the transactions involving our dish machines and to information generated relating to the allowance for doubtful accounts.,these control failures contributed to the transactions involving our dish machines and to information generated relating to the allowance for doubtful accounts,2014-12-31,1504747,&#9679; we did not maintain effective information and communication controls to generate relevant and quality information for use in the financial reporting close process.,<year> we did not maintain effective information and communication controls to generate relevant and quality information for use in the financial reporting close process,159,0,1,C,0,background,0,0,0,False,False,28.0,0,1,trainval,C,0.4375079022347585,0.11586534961052408,0.4466267481547175,0.4466267481547175,0.009118845919958984,1,0,e5_logreg,1.5442544059253236
930,0001494259_2022_4,21,"the material weakness also impacts the effectiveness of segregation of duties, the effectiveness of financial controls which rely on information from relevant financial systems and increases the reliance on corporate accounting personnel to identify errors at the caroffer subsidiary level.",the material weakness also impacts the effectiveness of segregation of duties the effectiveness of financial controls which rely on information from relevant financial systems and increases the reliance on corporate accounting personnel to identify errors at the caroffer subsidiary level,2022-12-31,1494259,"however, the material weakness could have resulted in material misstatements in our interim or annual financial statements and disclosures which then may not have been prevented or detected.",however the material weakness could have resulted in material misstatements in our interim or annual financial statements and disclosures which then <month> not have been prevented or detected,288,0,0,B,0,other,0,1,0,False,False,8.0,0,0,trainval,B,0.15496676267327036,0.43389362885321486,0.41113960847351466,0.43389362885321486,0.0227540203797002,1,0,e5_logreg,1.5433523507670848
1128,0001624322_2024_4,18,"nonetheless, we concluded that the deficiencies constituted a material weakness.",nonetheless we concluded that the deficiencies constituted a material weakness,2024-12-31,1624322,"through our own testing procedures, we determined no unauthorized changes occurred in the production database during the applicable periods.",through our own testing procedures we determined no unauthorized changes occurred in the production database during the applicable periods,78,1,0,C,0,background,0,0,0,False,False,21.0,0,1,trainval,A,0.42078970550992173,0.19817908438729068,0.3810312101027875,0.42078970550992173,0.03975849540713422,1,0,e5_logreg,1.5394517990829442
